group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
14737;unimarc;Vermouth rosso Martini 750 cc;Martini;;litro;;1 un;;7690;7690.0;https://www.unimarc.cl/vermouth-rosso-martini-750c-bot/p
14738;unimarc;Licor Mitjans menta 750 cc;Mitjans;;litro;;1 un;;7490;7490.0;https://www.unimarc.cl/licor-menta-mitjans-750-cc-bot/p
14739;unimarc;Tequila dorado Sombrero Negro 750 cc;Sombrero Negro;;litro;;1 un;;13990;13990.0;https://www.unimarc.cl/teq-dor-sombrero-negro-750cc-bot/p
14740;unimarc;Drambuie 750 cc;Drambuie;;litro;;1 un;;22590;22590.0;https://www.unimarc.cl/licor-d-whisky-drambuie-750ccbot/p
14741;unimarc;Tequila reposado Don Julio botella 750 cc;Don Julio;;litro;;1 un;;60990;60990.0;https://www.unimarc.cl/teq-rep-don-julio-750-cc-bot/p
14742;unimarc;Licor flor de sauco Momentum 750 cc;Momentum;;litro;;1 un;;12990;12990.0;https://www.unimarc.cl/licor-flor-de-sauco-momentum-750-ml-bot/p
14743;unimarc;Licor de manzanilla Duval 750 cc;Duval;;litro;;1 un;;5990;5990.0;https://www.unimarc.cl/licor-manzanilla-duval-750cc-bot/p
14744;unimarc;Aperitivo hibiscu spritz Livenza botella 750 cc;Livenza;;litro;;1 un;;7990;7990.0;https://www.unimarc.cl/aperitivo-hibiscu-spritz-livenza-750-bot/p
14745;unimarc;Aperitivo americano Livenza botella 750 cc;Livenza;;litro;;1 un;;7990;7990.0;https://www.unimarc.cl/aperitivo-americano-livenza-750-cc-bot/p
14746;unimarc;Tequila Olmeca reposado botella 700 cc;Olmeca;;litro;;1 un;;17590;17590.0;https://www.unimarc.cl/tequila-olmeca-reposado-700-cc-bot/p
14747;unimarc;Licor de café Kahlua 750 cc;Kahlua;;litro;;1 un;;15650;15650.0;https://www.unimarc.cl/licor-de-cafe-kahlua-750-ml/p
14748;unimarc;Tequila Olmeca dark chocolate 700 cc;Olmeca;;litro;;1 un;;17590;17590.0;https://www.unimarc.cl/tequila-chocolate-olmeca-700-ml-bot/p
14749;unimarc;Oporto Osborne tawny botella 750 cc;Osborne;;litro;;1 un;;23790;23790.0;https://www.unimarc.cl/oporto-tawny-osborne-750-cc-bot/p
14750;unimarc;Licor amargo Angostura 100 cc;Angostura;;litro;;1 un;;17190;17190.0;https://www.unimarc.cl/licor-amargo-angostura-100cc-bot/p
14751;unimarc;Carne molida fundo rio alegre corriente 10% grasa 500g;Fundo Rio Alegre;;Kg;mass;1 un;;5790;5790.0;https://www.unimarc.cl/carne-molida-tartaro-4-grasa-fra-500g/p
